annotation_id,annotator,created_at,date_created,id,lead_time,sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,tweet,updated_at
11.0,1.0,2025-04-01T09:22:32.586828Z,Fri Oct 25 04:59:15 +0000 2024,10,12.473,Neutral,Neutral,Neutral,Positive,Daur ulang sampah plastik https://t.co/57TcGl3XPW,2025-04-01T09:22:32.586828Z
12.0,1.0,2025-04-01T09:22:49.894245Z,Thu Nov 14 16:05:08 +0000 2024,11,15.31,Neutral,Neutral,Positive,Positive,Merchandise hasil kolaborasi Avoskin dan Rappo Indonesia ini cantik ya Sahabat Avo? Selain warnanya yang segar seperti buah reusable bag ini juga dibuat menggunakan daur ulang sampah plastik dari tangan-tangan penuh cinta para perempuan hebat! Pssttt merchandise ini bisa https://t.co/xx6O64oekP,2025-04-01T09:22:49.894245Z
13.0,1.0,2025-04-01T09:23:03.299197Z,Tue Jan 21 09:08:00 +0000 2025,12,11.736,Positive,Neutral,Positive,Positive,PNM bentuk klasterisasi usaha daur ulang guna dukung pengembangan industri kreatif Kenalan dulu sama Klasterisasi Usaha Daur Ulang Limbah Plastik dari Makassar yang dibina oleh PNM Mekaar. https://t.co/C8XqNQv29O,2025-04-01T09:23:03.299197Z
14.0,1.0,2025-04-01T09:35:27.739908Z,Thu Feb 13 01:50:04 +0000 2025,13,742.88,Positive,Neutral,Neutral,Positive,MIND ID melalui PT Vale Indonesia Tbk meluncurkan inovasi penggunaan plastik daur ulang sebagai mulsa atau media tanam di Nursery Vale Indonesia. Inovasi ini menjadi langkah nyata mengubah limbah yang tidak terurai menjadi produk bermanfaat untuk program pembibitan. https://t.co/4YbvoNnrfj,2025-04-01T09:35:27.739908Z
15.0,1.0,2025-04-01T09:37:08.514270Z,Tue Dec 10 06:47:14 +0000 2024,14,98.225,Neutral,Neutral,Positive,Positive,2. Bisnis Ramah Lingkungan Produk Daur Ulang: Membuat barang dari bahan daur ulang seperti tas dari plastik bekas atau furnitur dari kayu bekas. Penyewaan Barang: Layanan penyewaan barang seperti pakaian perlengkapan bayi atau alat elektronik untuk mengurangi konsumsi https://t.co/Hr36wjvyhx,2025-04-01T09:37:08.514270Z
16.0,1.0,2025-04-01T09:37:31.885337Z,Thu Jan 02 10:20:33 +0000 2025,15,21.142,Neutral,Negative,Negative,Negative,Solusi Daur Ulang Sampah Plastik Hanyalah Ilusi https://t.co/lFk8QskTP8,2025-04-01T09:37:31.885337Z
17.0,1.0,2025-04-01T09:38:12.170514Z,Thu Jan 02 07:19:10 +0000 2025,16,37.753,Neutral,Positive,Neutral,Positive,Pada tahun 2021 PT Tirta Investama (Danone AQUA) dan PT Veolia Service Indonesia meresmikan pabrik daur ulang plastik PET utk mengatasi permasalahan sampah di Indonesia juga mendorong pertumbuhan ekonomi dlm peningkatan kesejahteraan bagi para pekerja disektor persampahan. https://t.co/quZScWRD1G,2025-04-01T09:38:12.170514Z
18.0,1.0,2025-04-01T09:38:37.567287Z,Fri Nov 08 03:52:06 +0000 2024,17,22.926,Neutral,Positive,Neutral,Positive,Halo! Saya Ahmad Nauval Ariq Ms mahasiswa FT UI sedang meneliti persepsi masyarakat terhadap pembelian produk daur ulang plastik PET. Hadiah untuk 20 responden beruntung: Saldo Gopay/OVO/Dana Rp 50.000. https://t.co/BhLoL0Jw0P Terima kasih https://t.co/tYXAytyvHp,2025-04-01T09:38:37.567287Z
19.0,1.0,2025-04-01T09:39:15.940558Z,Wed Feb 19 00:05:41 +0000 2025,18,36.83,Neutral,Neutral,Neutral,Positive,SobatKominfo.. Sampah plastik telah menjadi masalah besar di planet kita. Namun kita dapat mengurangi dampaknya dengan menggunakan sampah plastik dengan bijak. Daur ulang gunakan kembali dan hindari penggunaan plastik sekali pakai! Yukk Bijak Menggunakan Sampah Plastik.. https://t.co/SUeodJirHD,2025-04-01T09:39:15.940558Z
,,,Sun Aug 25 09:01:28 +0000 2024,19,,,,,,Today let s talk about sex. 4. plastik daur ulang : kre-SEX. 5. rusak dan pesuk : ring-SEX. lanjutin ngee https://t.co/o3IzJG8czu,
20.0,1.0,2025-04-01T09:41:05.169999Z,Mon Feb 10 07:01:59 +0000 2025,20,18.294,Neutral,Neutral,Positive,Positive,Santri MBS SMP Mutual Bikin Heboh! Kaligrafi Kaca dan Bunga Plastik Daur Ulang Jadi Hadiah Istimewa https://t.co/e5ooSGPhXt https://t.co/ktsgqts9jS,2025-04-01T09:41:05.169999Z
21.0,1.0,2025-04-01T09:41:29.904504Z,Fri Feb 21 05:12:31 +0000 2025,21,23.534,Positive,Neutral,Positive,Neutral,Di Hari Peduli Sampah Nasional ini yuk mulai dan biasakan langkah kecil ini seperti membawa tumbler sendiri mengurangi plastik sekali pakai memilah sampah organik dan anorganik serta mendukung daur ulang. Dengan kebiasaan sederhana ini kita bisa memberikan dampak besar https://t.co/IAjz2YXvGO,2025-04-01T09:41:29.904504Z
22.0,1.0,2025-04-01T09:41:51.720797Z,Sun Mar 09 08:03:35 +0000 2025,22,20.37,Negative,Negative,Negative,Negative,Kebakaran di Pabrik Daur Ulang Plastik Mojosongo Solo 7 Mobil Damkar Dikerahkan Pabrik daur ulang sampah plastik di Mojosongo Jebres Solo dilanda kebakaran pada Minggu (9/3/2025) siang. https://t.co/nELvsxXvWG https://t.co/XfrjoSg9Ui,2025-04-01T09:41:51.720797Z
23.0,1.0,2025-04-01T09:42:17.086277Z,Sat Jan 11 13:15:36 +0000 2025,23,24.091,Positive,Neutral,Neutral,Positive,PpPPPPPpPPP ! Produk baru disini~ Jam tangan dari daur ulang sampah plastik namanya *Loop 01* kapan lagi punya produk dari recycled material? tapi baru bisa dibeli tanggal 15 bulan 1 tahun 2025 https://t.co/HxH3WJ7nnc,2025-04-01T09:42:17.086277Z
24.0,1.0,2025-04-01T09:42:48.015674Z,Fri Jan 17 12:47:56 +0000 2025,24,29.57,Positive,Positive,Neutral,Positive,Sepanjang tahun 2024 lebih dari 15.000 tukik telah dilepasliarkan ke habitat aslinya. Dari jumlah tersebut 500 tukik merupakan hasil konversi dari botol plastik yang dikumpulkan masyarakat melalui mesin daur ulang Bakti BCA. https://t.co/QRtitQMqYY,2025-04-01T09:42:48.015674Z
25.0,1.0,2025-04-01T09:43:37.390296Z,Thu Feb 13 05:59:24 +0000 2025,25,47.994,Positive,Neutral,Neutral,Positive,#MANCA Di INACRAFT 2025 Produk Tas Berbahan Plastik Daur Ulang UMKM Binaan Waskita Diborong Pembeli Mancanegara https://t.co/UoUWugF5Wa #11N1,2025-04-01T09:43:37.390296Z
26.0,1.0,2025-04-01T09:45:02.981190Z,Thu Jan 16 11:13:41 +0000 2025,26,83.613,Negative,Neutral,Neutral,Negative,Dengan tinggi 8 meter dan desain abstrak berbahan baja merah yang dilapisi kabel plastik daur ulang tugu ini menelan biaya Rp1 8 miliar dari APBD 2024. Proyek ini menuai kritik tajam mulai dari estetika hingga efisiensi penggunaan anggaran. https://t.co/ZJBDnkCdw6,2025-04-01T09:45:02.981190Z
27.0,1.0,2025-04-01T09:46:01.910522Z,Fri Mar 28 03:00:04 +0000 2025,27,56.953,Neutral,Neutral,Neutral,Positive,Di Hari Tanpa Sampah Internasional PT ALBA Tridi Plastics perusahaan daur ulang plastik yang dipimpin perempuan membuktikan pentingnya rantai nilai inklusif untuk ekonomi sirkuler. Melalui dukungan ADB mereka memberdayakan pengumpul plastik sambil meningkatkan volume daur,2025-04-01T09:46:01.910522Z
29.0,1.0,2025-04-01T09:47:09.900749Z,Fri Jan 03 00:45:00 +0000 2025,28,5.112,Negative,Negative,Negative,Negative,Solusi Daur Ulang Sampah Plastik Hanyalah Ilusi https://t.co/lFk8QskTP8,2025-04-01T09:47:09.900749Z
28.0,1.0,2025-04-01T09:46:41.474918Z,Wed Mar 19 07:25:25 +0000 2025,29,20.135,Neutral,Positive,Neutral,Positive,Bantu Palestina BAZNAS Le Minerale dan Masjid Istiqlal luncurkan dropbox daur ulang botol plastik https://t.co/5UJPPDz7pd dan-masjid-istiqlal-luncurkan-dropbox-daur-ulang-botol-plastik https://t.co/mDUDNUv3W2,2025-04-01T09:46:41.474918Z
30.0,1.0,2025-04-01T09:50:08.326628Z,Wed Dec 04 06:38:40 +0000 2024,30,177.393,Positive,Neutral,Neutral,Positive,9. Selanjutnya Mendag Budi juga melepas ekspor empat #UMKM dengan total nilai Rp3 9 miliar. Produk-produk yang dilepas ekspornya tersebut terdiri atas produk kerajinan furnitur daur ulang dari plastik gurita potong beku dan filet ikan. #UMKMBISAEkspor #AyoDagang https://t.co/vbAyjPM8Mp,2025-04-01T09:50:08.326628Z
31.0,1.0,2025-04-01T09:50:29.455633Z,Thu Dec 26 03:00:01 +0000 2024,31,11.411,Positive,Neutral,Positive,Positive,Bupati Sleman terpilih Harda Kiswaya mengapresiasi inovasi daur ulang sampah plastik yang dilakukan oleh pelaku usaha muda Kabupaten Sleman. Inovasi yang diusung Paste Laboratory perusahaan yang didirikan anak-anak muda Sleman sangat menginspirasi dan memberikan harapan besar https://t.co/PVfpCTqsuV,2025-04-01T09:50:29.455633Z
32.0,1.0,2025-04-01T09:50:42.018075Z,Wed Jan 08 06:52:09 +0000 2025,32,11.048,Neutral,Neutral,Positive,Positive,FOTO: Mengintip Daur Ulang Sampah Plastik Jadi Produk Rumah Tangga https://t.co/t3M1d43Xt0,2025-04-01T09:50:42.018075Z
33.0,1.0,2025-04-01T09:51:36.137578Z,Wed Dec 04 10:43:10 +0000 2024,33,53.17,Negative,Negative,Neutral,Negative,Indonesia kehilangan sekitar 1% GDP setiap tahun akibat dampak polusi plastik. Bukan cuma soal lingkungan ini juga urusan ekonomi dan kesejahteraan kita! Di konferensi INC berikutnya Indonesia harus lebih tegas mendorong pembatasan produksi plastik bukan hanya daur ulang https://t.co/nVKLKzeYuC,2025-04-01T09:51:36.137578Z
34.0,1.0,2025-04-01T09:52:04.756327Z,Thu Dec 05 05:29:03 +0000 2024,34,26.611,Positive,Neutral,Positive,Neutral,Dlm lawatannya ke Australia Ka #BPPSDMKP @InRadiarta turut mengunjungi Renew IT Information Technology Company perusahaan yang bergerak di bidang daur ulang plastik untuk menjajaki kolaborasi dalam mengatasi sampah plastik di laut. #SDMUnggul #EkonomiBiru https://t.co/raph6JQpNQ,2025-04-01T09:52:04.756327Z
35.0,1.0,2025-04-01T09:52:48.319264Z,Tue Feb 11 10:08:19 +0000 2025,35,42.031,Positive,Neutral,Positive,Positive,Real Betis Balompié telah menciptakan kaos pertama mereka yang terbuat dari ganggang laut dan plastik daur ulang untuk meningkatkan kesadaran akan besarnya bahaya invasi spesies ini di sepanjang pantai Andalusia. Respect Real Betis https://t.co/avx3lIw1kh,2025-04-01T09:52:48.319264Z
36.0,1.0,2025-04-01T09:53:37.593263Z,Thu Mar 13 02:16:14 +0000 2025,36,44.982,Negative,Negative,Negative,Negative,@kayseraphine Kita tidak akan pernah mendaur ulang plastik. Secara ekonomi tidak akan masuk. Harga biji plastik virgin akan selalu lebih murah daripada biji plastik daur ulang. 3R reduce reuse recycle. Urutannya gitu reduce reuse baru recycle.,2025-04-01T09:53:37.593263Z
37.0,1.0,2025-04-01T09:53:46.755848Z,Mon Mar 17 07:55:09 +0000 2025,37,7.854,Positive,Positive,Positive,Positive,AQUA Jadi Pelopor Ekonomi Sirkular di Indonesia Perkuat Teknologi Daur Ulang Sampah Plastik https://t.co/eT877ggWur,2025-04-01T09:53:46.755848Z
38.0,1.0,2025-04-01T09:54:13.163671Z,Tue Nov 12 03:00:01 +0000 2024,38,25.463,Positive,Neutral,Neutral,Positive,Calon Bupati dan Calon Wakil Bupati Jembrana nomor urut 2 Kembang Hartawan-Patriana Krisna (Bang Ipat) aktif menggerakkan program daur ulang sampah plastik dengan kegiatan bersih-bersih sampah di Pantai Cemara Pengambengan Kabupaten Jembrana. Kegiatan ini menyatukan warga https://t.co/M5tL6ciRuM,2025-04-01T09:54:13.163671Z
39.0,1.0,2025-04-01T09:54:28.935230Z,Tue Feb 11 02:53:01 +0000 2025,39,14.357,Neutral,Neutral,Neutral,Positive,Sebagian ruang kelas di SMA Pangudi Luhur Jakarta Selatan kini lebih ramah lingkungan dengan meja dan kursi yang terbuat dari daur ulang sampah plastik https://t.co/kaZ4sGjLnM,2025-04-01T09:54:28.935230Z
40.0,1.0,2025-04-01T09:55:36.182581Z,Wed Oct 16 10:00:01 +0000 2024,40,45.667,Negative,Neutral,Neutral,Neutral,Indonesia masih berjuang untuk melepaskan diri dari ketergantungan terhadap sampah impor yang telah menjadi hal yang sangat penting bagi industri daur ulang terutama dalam produksi kertas dan plastik. https://t.co/ns6OyEQkD6 https://t.co/NZePA4qB0y,2025-04-01T09:55:36.182581Z
41.0,1.0,2025-04-01T09:55:51.365947Z,Thu Mar 13 03:58:32 +0000 2025,41,24.593,Positive,Positive,Neutral,Positive,Baznas RI Bersama PT Gateway Container Line Mall Aeon Plasticpay Hadirkan RVM untuk Daur Ulang Plastik https://t.co/XXLh1WQkxl,2025-04-01T09:56:05.001568Z
42.0,1.0,2025-04-01T09:56:29.341967Z,Sat Nov 23 09:00:08 +0000 2024,42,23.577,Positive,Neutral,Neutral,Positive,Bagaimana LG berkontribusi untuk bumi yang lebih hijau? Mulai dari penggunaan komponen daur ulang kemasan tanpa plastik hingga penggantian zat berbahaya LG terus berinovasi demi keberlanjutan #LifesGood #GreenProduct #Sustainability https://t.co/kO8AXQSEtB,2025-04-01T09:56:29.341967Z
43.0,1.0,2025-04-01T09:57:02.987384Z,Sun Feb 23 12:53:34 +0000 2025,43,30.376,Neutral,Neutral,Positive,Neutral,Modena Pure Hub Dukung Gerakan Refill &amp; Daur Ulang Plastik di CFD Sudirman https://t.co/rpRJQdkfdy,2025-04-01T09:57:02.987384Z
44.0,1.0,2025-04-01T09:58:06.913019Z,Wed Dec 18 10:41:34 +0000 2024,44,60.854,Positive,Neutral,Positive,Neutral,Para ilmuwan telah lama mengetahui tentang kemampuan mealworm untuk memakan plastik tertentu. Apakah serangga ini bisa jadi solusi daur ulang alami? https://t.co/8LkI37FDip,2025-04-01T09:58:06.913019Z
45.0,1.0,2025-04-01T09:58:23.872915Z,Sun Mar 16 02:18:58 +0000 2025,45,20.641,Positive,Neutral,Neutral,Neutral,Sampah plastik di hutan dan laut mengancam ekosistem. Kurangi penggunaan plastik daur ulang dan pilih produk ramah lingkungan. #GoGreen,2025-04-01T09:58:29.503810Z
46.0,1.0,2025-04-01T09:59:02.601946Z,Sun Feb 23 13:24:28 +0000 2025,46,31.96,Positive,Neutral,Positive,Positive,Peneliti BRIN mengembangkan inovasi komposit kayu plastik dari bahan daur ulang plastik dengan teknologi radiasi. #Humaniora #AdadiKompas https://t.co/4urI8uX4xU,2025-04-01T09:59:02.601946Z
47.0,1.0,2025-04-01T10:06:35.610844Z,Mon Nov 25 09:38:10 +0000 2024,47,451.851,Negative,Negative,Neutral,Negative,Berdasarkan pandangan @ToxicsFree semakin meningkat kandungan daur ulang pada plastik bisa memperbesar risiko paparan bahan kimia beracun. Karena itu penting untuk memastikan plastik daur ulang bebas dari zat berbahaya dan mudah dilacak kandungannya. https://t.co/RfXZAWsvZ0,2025-04-01T10:06:35.610844Z
48.0,1.0,2025-04-01T10:07:49.322548Z,Thu Dec 05 05:29:12 +0000 2024,48,71.765,Positive,Neutral,Positive,Neutral,@in_radiarta berdiskusi dg Founder &amp; CEO Renew IT James Lancaster membahas adaptasi teknologi daur ulang plastik yg mungkin bs dimanfaatkan pd program Smart Fisheries Village (SFV) serta dlm skema kegiatan pelatihan di bidang pengelolaan sampah ramah lingkungan. NICE! https://t.co/UoomGmg63l,2025-04-01T10:07:49.322548Z
49.0,1.0,2025-04-01T10:08:23.982315Z,Sat Nov 09 09:05:38 +0000 2024,49,33.222,Neutral,Negative,Negative,Negative,Seluk Beluk Daur Ulang Botol Plastik Air Mineral Indonesia https://t.co/2stHxxsE82,2025-04-01T10:08:23.982315Z
50.0,1.0,2025-04-01T10:08:45.200282Z,Tue Feb 11 14:46:12 +0000 2025,50,20.159,Positive,Neutral,Positive,Positive,Thank you sudah sharing! Di Indonesia juga sudah mulai banyak inovasi daur ulang plastik lho.. Kita udah cleanup &gt;11 ton sampah plastik dan nge-recycle jadi papan daur ulang multifungsi. Nantinya papan dapat diubah jadi furniture! ️,2025-04-01T10:08:45.200282Z
,,,Sun Feb 23 13:36:35 +0000 2025,51,,,,,,Peneliti BRIN mengembangkan inovasi komposit kayu plastik dari bahan daur ulang plastik dengan teknologi radiasi. #Humaniora #AdadiKompas https://t.co/hLKDlYmJi0,
51.0,1.0,2025-04-01T10:09:52.917871Z,Tue Dec 31 03:27:01 +0000 2024,52,13.886,Positive,Neutral,Positive,Positive,Launching Gerakan Masyarakat Peduli Anak Sekolah Eks Panglima TNIYudo Margono Saksikan Demo Drone Hasil Daur Ulang Sampah Plastik https://t.co/aqRfaGP73q,2025-04-01T10:09:52.917871Z
52.0,1.0,2025-04-01T10:10:31.392631Z,Fri Dec 27 15:57:06 +0000 2024,53,23.498,Positive,Positive,Positive,Positive,Davines dan Plastic Bank Luncurkan Plastik Daur Ulang https://t.co/pnszN2VSGn,2025-04-01T10:10:31.392631Z
53.0,1.0,2025-04-01T10:11:04.507288Z,Tue Feb 18 01:44:12 +0000 2025,54,15.719,Neutral,Neutral,Neutral,Positive,Ikuti Pawai Budaya HUT Ke-128 Balikpapan Besok Koja Bakal Pamerkan Baju Betawi Daur Ulang Plastik https://t.co/UF42JGiE0S,2025-04-01T10:11:04.507288Z
54.0,1.0,2025-04-01T10:11:18.843334Z,Fri Nov 15 08:20:00 +0000 2024,55,13.018,Positive,Neutral,Neutral,Positive,Keren banget! Mahasiswa ITS bikin cagar watch dari daur ulang sampah plastik lho #Inspiratif #Mahasiswa #MedcomId #MudaMemberiArti https://t.co/JqEere1tZL,2025-04-01T10:11:18.843334Z
55.0,1.0,2025-04-01T10:11:40.339955Z,Thu Nov 21 04:11:25 +0000 2024,56,20.422,Neutral,Neutral,Negative,Negative,daur ulang plastik menjadi tantangan sendiri bagi saya sudah melakukan uji coba sejak bulan juli dan akhirnya saya berhasil untuk melakukan daur ulang plastik https://t.co/WnnONVPEM0,2025-04-01T10:11:40.339955Z
56.0,1.0,2025-04-01T10:13:19.074103Z,Thu Oct 31 12:03:27 +0000 2024,57,53.129,Neutral,Neutral,Positive,Positive,Kreativitas ibu rumah tangga Madiun Sri Suyatmi membuatnya mengolah bunga hias dari hasil daur ulang kantong plastik. https://t.co/KS7sGVHw0M,2025-04-01T10:13:19.074103Z
57.0,1.0,2025-04-01T10:14:03.030257Z,Tue Nov 05 23:06:27 +0000 2024,58,14.91,Neutral,Positive,Positive,Positive,Ibu-ibu di Madiun menunjukkan tas hasil daur ulang gelas plastik bekas buatannya. Karyanya tembus pameran produk kreatif. https://t.co/eqxwZwh4I9,2025-04-01T10:14:03.030257Z
,,,Mon Oct 07 09:15:00 +0000 2024,59,,,,,,Diduga akibat ilalang yang dibakar sembarangan sebuah pabrik plastik daur ulang di Desa Kesamben Wetan Kabupaten Gresik Jawa Timur terbakar hebat. Petugas pemadam kebakaran membutuhkan waktu sekitar 13 jam untuk memadamkan api. https://t.co/ns6OyEQSsE https://t.co/5wthpnUyvn,
58.0,1.0,2025-04-01T10:14:50.010587Z,Tue Oct 15 05:29:46 +0000 2024,60,22.242,Neutral,Positive,Positive,Positive,Melalui program GESN Le Minerale dan berbagai pihak mengolah sampah plastik menjadi produk daur ulang berkualitas tinggi. Cek selengkapnya: https://t.co/6OexdS5Kmb https://t.co/Rm8PQD0g39,2025-04-01T10:14:50.010587Z
59.0,1.0,2025-04-01T10:17:06.203339Z,Tue Nov 26 02:18:59 +0000 2024,61,131.108,Positive,Neutral,Positive,Positive,Dari Sampah Jadi Solusi: SDN 3 Barusari Hadir dengan Bata Plastik Daur Ulang Yayasan Bakti Barito bersama Pemkab Garut melaksanakan peletakan batu pertama pembangunan SDN 3 Barusari Kecamatan Pasirwangi Kab. Garut. Sekolah ini dibangun menggunakan bata plastik daur ulang. https://t.co/G3CKDH8lXP,2025-04-01T10:17:06.203339Z
60.0,1.0,2025-04-01T10:17:19.793361Z,Mon Oct 21 10:35:00 +0000 2024,62,12.677,Positive,Neutral,Positive,Positive,Plana startup yg didirikan pd 2019 oleh Joshua Christopher Chandra &amp; timnya berhasil memanfaatkan sampah plastik menjadi peluang bisnis yg menguntungkan. Mereka mengubah plastik daur ulang &amp; gabah padi menjadi material bangunan yg kuat &amp; tahan lama. https://t.co/xEAYVKjZck https://t.co/OYmDtFF7XR,2025-04-01T10:17:19.793361Z
61.0,1.0,2025-04-01T10:18:00.325632Z,Thu Jan 09 08:04:03 +0000 2025,63,39.667,Negative,Positive,Neutral,Positive,Setiap tahun 8-12 juta ton sampah plastik mencemari lautan. Simak fasilitas daur ulang botol plastik PET di Kendal yang didukung pinjaman biru ADB bersama PT ALBA Tridi Plastics Recycling Indonesia dalam video terbaru kami: https://t.co/QKKR6JCrxC #ADBIndonesia,2025-04-01T10:18:00.325632Z
62.0,1.0,2025-04-01T10:18:23.798431Z,Mon Nov 11 06:00:01 +0000 2024,64,22.105,Positive,Positive,Neutral,Positive,Arif Rahman Abidin (29) mengonkretkan hilirisasi limbah yang diterapkan dengan daur ulang botol plastik. Sampah berkurang manfaat pun dituai lewat rupiah atau nilai tambah. #UntukIndonesia #AdadiKompas https://t.co/Tw0QkK4TCK,2025-04-01T10:18:23.798431Z
63.0,1.0,2025-04-01T10:18:41.534408Z,Mon Feb 17 07:44:23 +0000 2025,65,14.023,Positive,Neutral,Positive,Positive,Badan Riset dan Inovasi Nasional atau BRIN telah mengembangkan teknologi radiasi nuklir untuk mengolah daur ulang limbah plastik menjadi bahan komposit plastik kayu. #Humaniora #AdadiKompas https://t.co/UIl6bC3FfJ,2025-04-01T10:18:41.534408Z
64.0,1.0,2025-04-01T10:18:56.990553Z,Fri Jan 03 04:11:37 +0000 2025,66,14.465,Positive,Neutral,Positive,Positive,Tingkatkan Ekonomi Masyarakat Kawasan Pesisir PLN Luncurkan Program TJSL Pengembangan Furniture Daur Ulang Sampah Plastik Electrizen PLN UID Sulselrabar bersama Rappo Indonesia meluncurkan program inovatif pengembangan furniture berbahan daur ulang sebagai bentuk- https://t.co/F6DnVWhz9M,2025-04-01T10:18:56.990553Z
,,,Sun Feb 23 13:24:07 +0000 2025,67,,,,,,Peneliti BRIN mengembangkan inovasi komposit kayu plastik dari bahan daur ulang plastik dengan teknologi radiasi. #Humaniora #AdadiKompas https://t.co/m2GgPK9dBY,
66.0,1.0,2025-04-01T10:19:34.513829Z,Sun Feb 02 23:27:02 +0000 2025,68,9.61,Neutral,Neutral,Neutral,Neutral,2/10 rata2 isshou akb akhir2 ini jg gaada yg lebih dr 5. rame2 bgt... balikin konsep kotak2 kita... ini juga jot yg bener aja isshou nya kek gaun daur ulang plastik tema yakult lady,2025-04-01T10:19:34.513829Z
