sentimenteffective,sentimentpet,sentimentprocess,sentimentrecycle,text
Negative,Positive,Neutral,Positive,ADB tanda tangani pinjaman biru $44 2 juta dengan Alba Group utk membangun fasilitas daur ulang botol minuman polietilena tereftalat (PET) di Kendal Jawa Tengah guna kurangi limbah plastik laut di Indonesia. Klik ️ utk info lebih lengkap 
Negative,Negative,Negative,Negative,Exxon Dituduh 50 Tahun Bohongi Publik Soal Daur Ulang Plastik 
Positive,Positive,Positive,Positive,DANONE AQUA MENJADI PELOPOR Kemasan Ramah Lingkungan Di Tahun 1983 Lewat AQUA Galon Untuk Memastikan 70% Bisnisnya Sirkular. DANONE AQUA Ambil Langkah Besar Membantu Penyelesaian Sampah Plastik di Indonesia Dengan Meluncurkan AQUA Life Yang Terbuat Dari 100% Plastik Daur Ulang. 
Neutral,Positive,Neutral,Positive,Coca-Cola Luncurkan Botol Terbaru dari Plastik Daur Ulang 
Neutral,Neutral,Neutral,Positive,Kotak penyimpanan RYKTA lengkap dengan penutup dan terbuat dari plastik daur ulang. Material semi-transparan membuatmu dapat menyimpan dan menemukan barang dengan lebih mudah. Temukan di Toko IKEA terdekat  atau app IKEA #storage #kotakpenyimpanan 
Positive,Neutral,Neutral,Neutral,Bank Syariah Indonesia (BSI) sediakan 20 unit Reverse Vending Machine (RVM) atau mesin daur ulang botol plastik di area G20. Penempatan RVM tsb utk dukung transisi energi berkelanjutan. Selain itu penempatan RVM jg utk kurangi sampah plastik #BaliSustainableMovement2023 
Negative,Positive,Positive,Positive,Saat ini sudah ada sekitar 227 perusahaan daur ulang sampah plastik di Indonesia. lndustri daur ulang plastik nasional ini diproyeksikan akan terus tumbuh. Namun ada kendala klasik mengadang bisnis yang bermanfaat buat lingkungan ini. 
Positive,Neutral,Neutral,Neutral,Setiap Kantor cabang BSI Nanti'y akn disediakn mesin daur ulang sampah plastik yg tlah terintegrasi dgn aplikasi plasticpay Cukup dgn menukar plastik scan barcode masyarakat memproleh poin yg dpt ditukar dgn merchandise dr BSI &amp; Plasticpay Indonesia #BaliSustainableMovement2023 
Neutral,Negative,Neutral,Negative,Penggunaan Produk Plastik Hasil Daur Ulang Bisa Berisiko Bagi Kesehatan: #Sampahplastik masih menjadi persoalan dalam pengelolaan sampah di Indonesia yang sampai saat ini sulit terselesaikan. Pasalnya komponen plastik menjadi jenis sampah yang sulit  
Positive,Neutral,Neutral,Positive,Bank Syariah Indonesia (BSI) sediakan 20 unit Reverse Vending Machine (RVM) atau mesin daur ulang botol plastik di area G20. Penempatan RVM tsb utk dukung transisi energi berkelanjutan #BaliSustainableMovement2023 
Neutral,Positive,Positive,Positive,#Foto Karya seni berbentuk wajah Lionel Messi dibuat dengan menggunakan ribuan tutup botol plastik daur ulang. 
Negative,Negative,Neutral,Negative,Mengingat mandat pengolahan sampah plastik tidak lagi dikelola pemerintah provinsi gerakan pendauran ulang ini membutuhkan peran masyarakat. 
Positive,Positive,Neutral,Positive,Tim ilmuwan China berhasil kembangkan metode baru daur ulang plastik  
Neutral,Neutral,Positive,Positive,Putu Eka Darmawan memutuskan berhenti sebagai bartender di sebuah kapal pesiar kemudian kembali ke Bali untuk menjadi pemulung dan berkutat dengan sampah plastik. Kini Eka telah mengekspor berbagai produk daur ulang plastik ke mancanegara. 
Positive,Neutral,Neutral,Neutral,Halo Sobat Laut Saat ini sedang berlangsung FGD Penyusunan Pedoman Pengelolaan Sampah Plastik dari Alat Penangkapan Ikan Ayo kembangkan industri daur ulang alat tangkap ikan di Indonesia yang masih minim ️ #ALDFG #marinedebris #tknpsl 
Positive,Positive,Neutral,Positive,PT Coca Cola Europasific Partners Indonesia menanamkan investasi sebesar Rp 55 miliar untuk membangun fasilitas daur ulang sampah plastik di kawasan industri Cikarang. 
Positive,Positive,Neutral,Positive,Pj. Bupati Bekasi @daniramdan0112 mendampingi Menteri Koordinator Bidang Kemaritiman dan Investasi Republik Indonesia Luhut Binsar Pandjaitan dalam rangka peresmian pabrik daur ulang botol plastik berjenis Polyethylene Terephthalate (PET). 
Positive,Neutral,Neutral,Positive,Setiap kantor cabang BSI nantinya akan di sediakan mesin daur ulang sampah plastik yg telah terintregasi dg aplikasi Plasticpay. Pada tahap awal BSI dan Plasticpay Indonesia akan menempatkan RVM di area publik. #BaliSustainableMovement2023 
Neutral,Positive,Neutral,Positive,Jersey Teamnas Indonesia terbaik menurut saya adalah ini selain sangat memiliki nilai sangat kuat karena dibuat dari daur ulang botol plastik Jersey ini digunakan Teamnas yg disabotase sebagian elemen sepakbola Indonesia dari pengurus klub sampai supporter 
Positive,Neutral,Positive,Positive,Para ilmuwan berhasil mengubah sampah plastik yang sulit di daur ulang dari Samudra Pasifik menjadi komponen utama untuk membuat obat-obatan. 
Positive,,Positive,Positive,Terinspirasi dari kesadaran akan lingkungan dan dibuat dari lingkungan. #Everydecisioncounts saat mengambil apa yang tersisa dari lingkungan dan merancangnya menjadi produk unggulan yang dibuat dari 60% plastik daur ulang (PCR). Acer Aspire Vero 16 adalah salah satunya. 
Positive,Neutral,Positive,Neutral,Market leader penyumbang sampah plastik terbesar di Indonesia mustinya perbanyak mbikin pabrik daur ulang sampah plastik kyk gini di setiap daerah.. Bukan malah mlakukan Greenwashing menutupi masalah  
Neutral,Positive,Positive,Positive,8 Ide Daur Ulang Sampah Plastik yang Mudah Dibuat 
Negative,Neutral,Positive,Positive,@zuhdeee @ipunk_baik BubbleDeck mengurangi berat slab hingga 35% potensi hemat biaya ~10% dan memungkinkan bentang lebih panjang serta lebih ramah lingkungan dengan plastik daur ulang. Konstruksi lebih cepat tapi kekuatan geser lebih rendah perlu penyesuaian desain. Di Indonesia ada yang pakai
Neutral,Positive,Neutral,Positive,Kunjungan @Veolia Services Indonesia sebagai salah satu mitra bisnis daur ulang @Danone -AQUA memastikan sampah kemasan plastik yang telah dikumpulkan dapat diolah dengan standar menjadi material rPET (recycle PET) untukbahan baku botol plastik baru. #bijakberplastik 
Positive,Positive,Neutral,Positive,Pabrik Daur Ulang Sampah Botol Plastik Kategori Food Grade Dibangun di Kendal 
Neutral,Neutral,Neutral,Positive,Pegadaian Gandeng Plustik untuk Daur Ulang 1 Ton Sampah Plastik 
Neutral,Negative,Negative,Negative,Penelitian Ungkap Pelet Plastik Daur Ulang dari Indonesia Mengandung 30 Bahan Kimia Beracun dengan Konsentrasi Tinggi  #TempoTekno
Positive,Neutral,Neutral,Neutral,Di Hari Lingkungan Hidup Bank Syaria Indonesia berkolabolasi dengan Plasticplay menempatkan mesin daur ulang sampah plastik di kota Bogor sebagai upaya mengurangi sampah plastik. @bankbsi_id #BaliSustainableMovement2023 
Positive,Positive,Positive,Positive,Jakarta Fair Kemayoran menjadi ajang untuk memperkenalkan inisiatif daur ulang botol plastik yang inovatif melalui acara bertajuk Jaga Indonesia 
Positive,Positive,Neutral,Positive,Coca-Cola Europacific Partners Indonesia dan Dynapack Asia Resmikan Pabrik Daur Ulang Plastik PET 
Positive,Neutral,Neutral,Positive,Makin keren aja nih #BankMandiri ini. Yang terbaru PT Bank Mandiri Tbk meluncurkan digital carbon tracking kartu debit &amp; kartu prabayar e-money berbahan plastik daur ulang &amp; kartu kredit nonfisik untk misi mendukung pencapaian emisi karbon nol bangsa Indonesia pada 2060. 
Neutral,Negative,Neutral,Negative,Investor takut investasi di Indonesia karena PDN gampang bocor produknya terbuat dari plastik daur ulang 
Neutral,Neutral,Neutral,Positive,Redam Jejak Karbon Bank Mandiri Terbitkan Kartu Debit dan E-money Plastik Daur Ulang Pertama di Indonesia dan Kartu Kredit Virtual Tanpa Kartu Plastik 
Positive,Neutral,Neutral,Positive,Bank Mandiri menjadi bank pertama di Indonesia yang menerbitkan kartu debit dan kartu prabayar e-money dari bahan plastik PVC daur ulang. #bisnisupdate #update #bisnis #text 
Positive,Neutral,Neutral,Neutral,Tim Kampanye Jelajah Bersih Negeri singgah di pabrik daur ulang plastik Veolia Indonesia di Kawasan Pasuruan Industrial Estate Rembang (PIER) Pasuruan Jawa Timur pada 10 Februari 2023. 
Positive,Neutral,Neutral,Positive,Pada #Computex2023 Acer menunjukkan komitmen kuat kami terhadap keberlanjutan dengan Aspire Vero 15 sebuah laptop hemat energi dengan rangka yang terbuat dari 40% plastik daur ulang PCR. Pilihan tepat untukmu yang #SayangBumi ️ #AcerComputex 
Positive,Neutral,Neutral,Positive,Pada kesempatan ini Ibu Rut membawa mitra kerja dan pelaku usaha Norwegia 🇳🇴 seperti Avfall Norge yg bermitra dengan INSWA serta Inframar perusahaan Norwegia yg berencana membangun fasilitas daur ulang kimia skala komersial untuk sampah plastik Indonesia. 
Neutral,Negative,Neutral,Negative,Sampah plastik yang dihasilkan sulit terdegradasi atau daur ulang secara alami butuh kepedulian banyak pihak untuk mendapatkan solusinya. Simak selengkapnya di #Insight with @desianwar hari ini pukul 18.00 WIB hanya di  
Positive,Neutral,Positive,Positive, Yuk peringati #GlobalRecyclingDay besok! ️ 18 Maret 2023 Taman Literasi Martha Christina Tiahahu 15.00 17.30 WIB Kamu berkesempatan mengikuti workshop daur ulang plastik &amp; memperluas wawasan terkait bahaya sampah plastik lho! ️ #SekarangSaatnya #AksiGenerasiIklim 
Positive,Neutral,Neutral,Positive,Bank Mandiri menjadi bank pertama di Indonesia yang menerbitkan kartu debit dan kartu prabayar E-Money dari bahan plastik PVC daur ulang dan juga kartu kredit virtual tanpa kartu plastik. 
Positive,Neutral,Neutral,Positive,TIM peneliti dari Universitas Ilmu Pengetahuan dan Teknologi Tiongkok menemukan proses daur ulang plastik polietilena satu dari lima jenis plastik yang paling umum bersifat sangat stabil dan tidak mudah terurai. Sumber: 
Positive,Neutral,Positive,Positive,Para siswa SMAN 6 Palembang serta tamu undangan lain melakukan daur ulang limbah plastik menjadi sampul buku wadah smartphone dan dompet. 
Positive,Neutral,Neutral,Positive, Kami adakan pelatihan untuk memberdayakan perempuan khususnya kaum milenial dengan pelatihan pembuatan boneka dari plastik daur ulang 
Positive,Positive,Neutral,Positive,Bank Syariah Indonesia @bankbsi_id menyediakan sebanyak 20 unit reverse vending machine (RVM) atau si daur ulang botol plastik di area G20. #BaliSustainableMovement2023 
Positive,Neutral,Neutral,Positive,IPI akan terus berjuang untuk ekosistem &amp; sirkuler ekonomi sampah daur ulang plastik terutama kantong kresek #Jokowi #klhk #Indonesia #BUMNUntukIndonesia #kemenperin #pupr 
Positive,Neutral,Positive,Positive,Kota Deltamas Bersama Pemkab Bekasi Hadirkan Inovasi Aspal Berbahan Plastik Daur Ulang  Jakarta Dengan mengadopsi konsep ekonomi sirkular Indonesia dapat memimpin solusi efektif dalam pengelolaan limbah plast  
Positive,Neutral,Positive,Positive,Daur ulang di Indonesia belum terlalu maju. Namun anak muda pembuat jam tangan dari sampah plastik bersinar terang di perusahaan startup yang ingin menghentikan perusakan lingkungan. Kami sedang dalam proses mendukung kegiatan ini secara maksimal. 
Positive,Positive,Neutral,Neutral,Sebuah perpustakaan multimedia yang dibangun dari botol plastik daur ulang oleh seorang arsitek Afrika diresmikan pada Selasa (31/10) di Kokrobite menyediakan akses ke berbagai sumber pembelajaran bagi siswa-siswa sekolah dari keluarga miskin  
Positive,Neutral,Neutral,Neutral,Pantasan ya pelaku bisnis sampah kok masih sedikit di Indonesia. Kalau aku tajir sih (kapan ya wkwk) aku mau bangun pabrik daur ulang sampah plastik
Positive,Neutral,Neutral,Positive,Yang seperti ini perlu dilakukan oleh setiap perusahaan AMDK. Komitmen Perusahaan dalam menanggulangi sampah plastik Indonesia serta target kampanye Nasional pendidikan daur ulang yang menjangkau 100 juta konsumen dan 5 juta anak-anak pada 2025.  
Positive,Neutral,Neutral,Positive,Redam Jejak Karbon Bank Mandiri Terbitkan Kartu Debit dan E-money Plastik Daur Ulang Pertama di Indonesia 
Neutral,Positive,Neutral,Positive,Saat ini satu dari setiap tiga botol yang diedarkan Coca-Cola di Indonesia terbuat dari 100% plastik PET daur ulang. #newsupdate #update #news #text 
Positive,Neutral,Neutral,Positive,Keren... di setiap kantor cabang Bank Syariah Indonesia @bankbsi_id akan disediakan mesin daur ulang sampah plastik yang sudah diintegrasikan dengan aplikasi Plasticpay. #BaliSustainableMovement2023 
Positive,Neutral,Neutral,Positive,Bank Mandiri Terbitkan Kartu Debit dan E-money Plastik Daur Ulang Pertama di Indonesia 
Positive,Neutral,Neutral,Neutral,Venteny &amp; Plastic Bank Indonesia Akan Kumpulkan 20 Ribu Kg Plastik Daur Ulang #PlasticBankIndonesia 
Neutral,Neutral,Positive,Positive,Keren Rebricks Indonesia daur ulang sampah plastik jadi bahan bangunan 
Positive,Positive,Neutral,Positive,Coca-Cola Indonesia Luncurkan Kemasan Botol Plastik Daur Ulang 
