"Unnamed: 0","annotation_id","annotator","created_at","date_created","id","lead_time","sentimenteffective","sentimentpet","sentimentprocess","sentimentrecycle","tweet","updated_at"
"",697,"1","2025-04-28T07:53:56.068732Z","Sun Mar 04 16:22:38 +0000 2018",1489,10.301,"Positive","Neutral","Neutral","Positive","IMMPA Kenalkan Ecobrick sebagai Terobosan Olah Sampah Plastik  ","2025-04-28T07:54:20.711428Z"
"",698,"1","2025-04-28T07:54:16.194306Z","Tue Mar 15 08:27:07 +0000 2022",1490,16.533,"Neutral","Neutral","Neutral","Positive","BUMDes di Purbalingga Olah Sampah Plastik Jadi BBM ","2025-04-28T07:54:16.194306Z"
"",699,"1","2025-04-28T07:54:33.495608Z","Mon Jun 17 03:02:00 +0000 2019",1491,5.229,"Neutral","Neutral","Neutral","Positive","Olah Sampah Plastik Menjadi BBM  ","2025-04-28T07:54:33.495608Z"
"",700,"1","2025-04-28T07:54:38.882204Z","Fri Jun 14 00:45:03 +0000 2019",1492,4.056,"Neutral","Neutral","Positive","Positive","Ecobricks Solusi Cerdas Olah Sampah Plastik ","2025-04-28T07:54:38.882204Z"
"",701,"1","2025-04-28T07:54:43.370080Z","Tue Sep 26 09:31:15 +0000 2023",1493,3.439,"Neutral","Neutral","Neutral","Positive","Warga Binjai Olah Sampah Plastik Jadi BBM ","2025-04-28T07:54:43.370080Z"
"",702,"1","2025-04-28T07:54:48.612113Z","Mon Feb 21 06:17:32 +0000 2022",1494,4.348,"Neutral","Neutral","Neutral","Positive","DLH KLU Olah Sampah Plastik Jadi Solar ","2025-04-28T07:54:48.612113Z"
"",703,"1","2025-04-28T07:54:56.893731Z","Mon Jul 20 03:59:08 +0000 2020",1495,7.194,"Neutral","Neutral","Positive","Positive","Ide Bagus Olah Sampah Pasangan Desainer Sulap Limbah Plastik di Laut Jadi Furniture  ","2025-04-28T07:54:56.894730Z"
"",704,"1","2025-04-28T07:55:03.119114Z","Mon Jul 08 10:02:59 +0000 2019",1496,5.276,"Neutral","Neutral","Positive","Positive","Nuning Sulistyani Olah Sampah Plastik Jadi Peluang Bisnis ","2025-04-28T07:55:03.119114Z"
"",705,"1","2025-04-28T07:57:58.113475Z","Sat Aug 20 03:12:02 +0000 2022",1497,173.722,"Neutral","Neutral","Positive","Positive","Menteri Siti Nurbaya Ajak Masyarakat Olah Sampah Plastik Menjadi Sumber Daya Ekonomi ","2025-04-28T07:57:58.113475Z"
"",706,"1","2025-04-28T07:58:20.383551Z","Tue Aug 13 11:25:35 +0000 2024",1498,20.516,"Neutral","Neutral","Positive","Positive","Bank Sampah di Sleman Olah Sampah Plastik Jadi BBM Hasilkan 35 Liter Solar Sehari ","2025-04-28T07:58:20.383551Z"
"",707,"1","2025-04-28T07:58:27.879061Z","Wed Jul 31 12:33:12 +0000 2019",1499,6.513,"Positive","Neutral","Neutral","Positive","Mahasiswa UGM Olah Sampah Plastik Jadi Bahan Bakar Minyak ","2025-04-28T07:58:27.879061Z"
"",708,"1","2025-04-28T07:59:27.399755Z","Sun Jul 03 11:41:02 +0000 2022",1500,29.413,"Positive","Negative","Positive","Negative","Dari sktr 7 milyar ton limbah plastik yg dihasilkan scr global hanya 10% yg telah didaur ulang. Tetapi Indonesia punya pahlawan sampah Made Janur Yasa yg berbagi pengalaman olah sampah plastik di Bali lewat diskusi di @myamericasby  #PlasticBagFreeDay ","2025-04-28T07:59:27.399755Z"
"",709,"1","2025-04-28T07:59:38.030126Z","Fri Aug 26 09:46:10 +0000 2022",1501,7.138,"Neutral","Neutral","Positive","Positive","Atasi Masalah Sampah Desa Sayan Berencana Olah Sampah Plastik Jadi BBM ","2025-04-28T07:59:38.031124Z"
"",710,"1","2025-04-28T07:59:44.793083Z","Thu Apr 08 07:17:06 +0000 2021",1502,5.968,"Neutral","Neutral","Neutral","Positive","Perusaan Prajogo Pangestu &amp; Hartono Olah Sampah Plastik Jadi Bahan Aspal ","2025-04-28T07:59:44.793083Z"
"",711,"1","2025-04-28T08:00:04.530971Z","Sun Sep 27 13:25:03 +0000 2020",1503,18.795,"Neutral","Neutral","Neutral","Positive"," Kita olah sampah plastik menjadi jenang krunguku","2025-04-28T08:00:04.530971Z"
"",712,"1","2025-04-28T08:00:14.485871Z","Thu Sep 26 07:30:32 +0000 2019",1504,7.432,"Positive","Neutral","Neutral","Positive","Riza Farizaha Siswi SMKN 2 Kediri Olah Sampah Plastik Jadi Minyak ","2025-04-28T08:00:14.485871Z"
"",713,"1","2025-04-28T08:00:46.611150Z","Fri Nov 15 13:10:03 +0000 2019",1505,31.215,"Neutral","Neutral","Positive","Positive","Chandra Asri (TPIA) olah sampah plastik jadi bahan baku aspal untuk jalan di Tegal  #Emiten","2025-04-28T08:00:46.611150Z"
"",714,"1","2025-04-28T08:01:05.426670Z","Mon Aug 22 08:22:06 +0000 2022",1506,16.882,"Neutral","Neutral","Positive","Positive","Menteri Siti Nurbaya ajak masyarakat olah sampah plastik jadi sumber daya ekonomi  ","2025-04-28T08:01:05.426670Z"
"",715,"1","2025-04-28T08:01:12.391890Z","Wed Feb 22 05:01:26 +0000 2023",1507,5.978,"Neutral","Neutral","Positive","Positive","Kreatif Abis Yayasan Rimba Indonesia Olah Sampah Plastik Jadi BBM ","2025-04-28T08:01:12.391890Z"
"",716,"1","2025-04-28T08:01:19.734864Z","Thu Feb 17 08:00:44 +0000 2022",1508,6.206,"Positive","Neutral","Positive","Positive","Investor Australia Akan Olah Sampah Plastik Kebon Kongok Jadi Solar ","2025-04-28T08:01:19.734864Z"
"",717,"1","2025-04-28T08:01:27.964493Z","Thu Mar 03 19:41:33 +0000 2022",1509,6.383,"Neutral","Neutral","Positive","Positive","Sinar Mas Land dan Chanda Asri Olah Sampah Plastik Warga BSD City ","2025-04-28T08:01:27.964493Z"
"",718,"1","2025-04-28T08:01:39.802219Z","Tue Oct 29 16:14:50 +0000 2019",1510,10.548,"Neutral","Neutral","Neutral","Positive","Cara Olah Sampah Plastik Jadi Bahan Komposit Beton [News] #TauCepatTanpaBatas #BeritaTerkini #Kampus #KampusUpdate . ","2025-04-28T08:01:39.802219Z"
"",719,"1","2025-04-28T08:01:50.272207Z","Mon May 30 11:23:08 +0000 2022",1511,8.468,"Positive","Neutral","Positive","Positive","Olah Sampah Plastik Jadi BBM Rencana ke Depan untuk Nelayan  #Daerah #BeritaBaru #BeritaBaruJatim #BeritaJatim #Beritabaruco ","2025-04-28T08:01:50.272207Z"
"",720,"1","2025-04-28T08:02:12.913212Z","Fri Jul 08 15:21:59 +0000 2022",1512,21.858,"Positive","Positive","Neutral","Positive","padahal besok tuh cuma mau beberes bank sampah malah pada mau ikutan belajar olah sampah plastik wkwk","2025-04-28T08:02:12.913212Z"
"",721,"1","2025-04-28T08:02:18.683810Z","Sat Aug 20 05:04:08 +0000 2022",1513,4.699,"Neutral","Neutral","Positive","Positive","Menteri LHK Ajak Masyarakat Olah Sampah Plastik Jadi Sumber Daya Ekonomi ","2025-04-28T08:02:18.683810Z"
"",722,"1","2025-04-28T08:02:30.468212Z","Mon Aug 01 22:36:09 +0000 2022",1514,10.085,"Neutral","Neutral","Positive","Neutral","Tropical Go Green Olah Sampah Plastik ","2025-04-28T08:02:30.468212Z"
"",723,"1","2025-04-28T08:02:36.237216Z","Wed Aug 15 07:54:50 +0000 2018",1515,5.999,"Neutral","","Neutral","Positive","TPST Asri Olah Sampah Plastik Jadi BBM ","2025-04-28T08:02:43.428342Z"
"",724,"1","2025-04-28T08:02:41.114790Z","Sun Jan 13 13:11:49 +0000 2019",1516,3.949,"Neutral","Neutral","Neutral","Positive","Ajik Anggi Olah Sampah Plastik Jadi BBM Begini Ceritanya ","2025-04-28T08:02:41.114790Z"
"",725,"1","2025-04-28T08:02:50.033999Z","Mon Jan 14 12:35:33 +0000 2019",1517,5.292,"Neutral","Neutral","Positive","Positive","Tak Pernah Bosan Olah Sampah Plastik karena Nikmati Prosesnya ","2025-04-28T08:02:50.033999Z"
"",726,"1","2025-04-28T08:02:57.470265Z","Tue Feb 26 13:35:17 +0000 2019",1518,5.769,"Neutral","Neutral","Positive","Positive","Tim Antasena ITS Sukses Olah Sampah Plastik Jadi Bahan Baku 3D Printing  ","2025-04-28T08:02:57.470265Z"
"",727,"1","2025-04-28T08:03:03.544074Z","Mon Jun 03 15:16:05 +0000 2024",1519,5.079,"Neutral","Neutral","Positive","Positive","Wow! Warga Kalasan Sleman Diajari Cara Olah Sampah Plastik jadi BBM  ","2025-04-28T08:03:03.544074Z"
"",728,"1","2025-04-28T08:03:10.328340Z","Wed Apr 09 02:05:19 +0000 2025",1520,5.853,"Neutral","Neutral","Neutral","Positive","BRIN dan Pemkab Banjarnegara Olah Sampah Plastik Jadi Bahan Bakar PETASOL ","2025-04-28T08:03:10.328340Z"
"",729,"1","2025-04-28T08:03:37.991293Z","Wed Oct 30 04:24:13 +0000 2024",1521,9.886,"Positive","Neutral","Positive","Positive","BRIN dan Pemkot Semarang Olah Sampah Plastik Jadi Bahan Bakar Petasol Setara Solar  #TempoTekno","2025-04-28T08:03:37.991293Z"
"",730,"1","2025-04-28T08:05:02.591202Z","Mon Jun 03 14:54:15 +0000 2024",1522,18.371000000000002,"Neutral","Neutral","Neutral","Positive","Dusun Dekat Candi Prambanan Yogyakarta Ini Olah Sampah Plastik dengan Cara Tak Biasa  #TempoTravel","2025-04-28T08:05:02.591202Z"
"",731,"1","2025-04-28T08:05:25.577026Z","Mon Aug 22 00:51:25 +0000 2022",1523,16.709,"Neutral","Neutral","Positive","Positive","Pemerintah ajak masyarakat olah sampah plastik menjadi sumner daya ekonomi. #EkonomiRIMeningkat ","2025-04-28T08:05:25.577026Z"
"",732,"1","2025-04-28T08:05:33.166105Z","Wed Oct 19 14:50:40 +0000 2022",1524,6.389,"Positive","Neutral","Positive","Positive","Usung Sirkular Ekonomi Kemenperin Dukung Industri Olah Sampah Plastik ","2025-04-28T08:05:33.166105Z"
"",733,"1","2025-04-28T08:05:44.263543Z","Thu Jan 27 08:22:34 +0000 2022",1525,9.568,"Neutral","Neutral","Neutral","Positive","Kelompok Sadar Wisata di Wonosobo Olah Sampah Plastik Menjadi Bahan Bakar ","2025-04-28T08:05:44.263543Z"
"",734,"1","2025-04-28T08:05:55.219160Z","Tue Feb 27 08:34:44 +0000 2024",1526,7.115,"Positive","Neutral","Neutral","Positive","SBI dan Pemkab Bantul Kerja Sama Olah Sampah Plastik -  ","2025-04-28T08:05:55.219160Z"
"",735,"1","2025-04-28T08:06:31.239974Z","Wed Oct 19 07:45:12 +0000 2022",1527,34.605,"Positive","Neutral","Positive","Positive","Berhasil Olah Sampah Plastik Jadi BBM Chandra Asri (TPIA) Minta Penerbitan Izin Distribusi Komersial ","2025-04-28T08:06:31.239974Z"
"",736,"1","2025-04-28T08:06:41.804614Z","Sat Aug 20 23:37:51 +0000 2022",1528,9.586,"Neutral","Neutral","Positive","Positive","KLHK ajak masyarakat olah sampah plastik jadi sumber daya ekonomi. ","2025-04-28T08:06:41.804614Z"
"",737,"1","2025-04-28T08:07:30.768125Z","Sat Nov 27 14:42:12 +0000 2021",1529,34.553,"Neutral","Neutral","Positive","Positive","Keren! Bank Sampah Ini Olah Limbah Plastik Jadi Bernilai Ekonomi #BacadiBJ #BeritaJakarta #DKIJakarta #BankSampah ","2025-04-28T08:07:30.768125Z"
"",738,"1","2025-04-28T08:07:35.829861Z","Wed Nov 30 03:23:03 +0000 2022",1530,3.814,"Neutral","Neutral","Positive","Positive","KREATIVITAS WARGA OLAH SAMPAH PLASTIK MENJADI BBM ","2025-04-28T08:07:35.829861Z"
"",739,"1","2025-04-28T08:07:43.983420Z","Tue May 22 12:09:11 +0000 2018",1531,6.851,"Neutral","Neutral","Neutral","Positive","Tukang Sablon Ini Olah Sampah Plastik Jadi BBM ","2025-04-28T08:07:43.984419Z"
"",740,"1","2025-04-28T08:08:51.972492Z","Mon Aug 01 06:27:59 +0000 2022",1532,6.666,"Neutral","Positive","Positive","Positive","Tropical Go Green Olah Sampah Plastik Jadi Barang Bermanfaat ","2025-04-28T08:08:51.972492Z"
"",741,"1","2025-04-28T08:09:01.236744Z","Mon Nov 29 07:17:02 +0000 2021",1533,8.362,"Positive","Positive","Neutral","Positive","MNC Peduli dan MNC Sekuritas Ajak Ibu-Ibu PKK Olah Sampah Plastik ","2025-04-28T08:09:01.236744Z"
"",742,"1","2025-04-28T08:09:20.647686Z","Sun Jan 17 00:57:02 +0000 2021",1534,16.782,"Neutral","Neutral","Positive","Positive","Gandeng DLH Polres Kepulauan Meranti Olah Limbah Sampah Plastik Jadi Batako ","2025-04-28T08:09:20.647686Z"
"",743,"1","2025-04-28T08:10:41.128418Z","Wed Jun 26 04:55:53 +0000 2024",1536,54.041,"Neutral","Positive","Neutral","Positive","Fenomena ini juga terkait tata kelola sampah Indonesia yang amburadul. Saya ambil Jepang (terutama Kobe) sebagai good waste governance ya. Dimulai dari hulu masyarakat diwajibkan untuk memilah sampah mereka terus dimasukin ke plastik daur ulang sesuai jenis sampah. Buat apa? ","2025-04-28T08:10:41.128418Z"
"",744,"1","2025-04-28T08:10:58.707838Z","Mon Aug 26 05:57:31 +0000 2024",1537,16.559,"Positive","Neutral","Positive","Positive","Rinso bikin gebrakan di dunia deterjen dg membuat kemasan plastik dr hsl daur ulang dn jadi yg pertama di Indonesia. Teknologi Creasolv ini bikin kemasan tetap kuat &amp; tahan lama meskipun dr daur ulang supaya jadi inspirasi masyarakat supaya lbh aktif upaya pelestarian lingkungan ","2025-04-28T08:10:58.707838Z"
"",745,"1","2025-04-28T08:11:45.574736Z","Sun Apr 13 04:57:40 +0000 2025",1538,45.773,"Negative","Positive","Negative","Positive","Sampah non B3 memang diperbolehkan untuk diimpor ke Indonesia berdasarkan peraturan. Sampah plastik atau kertas misalnya diimpor untuk keperluan daur ulang - ironisnya kita punya sampah berlimpah TAPI nggak terpilah dengan baik. Negara penyumbang sampah plastiknya? Terbesar ","2025-04-28T08:11:45.575735Z"
"",746,"1","2025-04-28T08:13:43.857837Z","Thu Nov 28 04:01:35 +0000 2024",1539,117.393,"Positive","Positive","Positive","Positive","ADB mendukung Indonesia dalam mengurangi sampah plastik di lautan dengan PT ALBA Tridi Plastics Recycling Indonesia perusahaan ALBA Group Asia untuk mendirikan fasilitas daur ulang polietilen tereftalat (PET) di Jawa Tengah. ","2025-04-28T08:13:43.857837Z"
"",747,"1","2025-04-28T08:14:08.722826Z","Thu Apr 17 13:54:47 +0000 2025",1540,23.655,"Positive","Neutral","Positive","Positive","ANEKA KREASI PEMANFAATAN SAMPAH DAUR ULANG PLASTIK. Dengan teknologi yang sederhana kita dapat mengolah material daur ulang plastik menjadi berbagai produk yang menarik. Hal ini sudah dilakukan di banyak tempat di Indonesia.. Yuk sebarluaskan info ini agar lebih banyak orang ","2025-04-28T08:14:08.722826Z"
"",748,"1","2025-04-28T08:18:32.292703Z","Mon Jul 24 04:25:47 +0000 2023",1541,16.427,"Positive","Neutral","Neutral","Positive","Peduli lingkungan Bank Mandiri menjadi bank pertama di Indonesia yang menerbitkan kartu debit dan kartu prabayar e-money dari bahan plastik PVC daur ulang dan juga kartu kredit virtual tanpa kartu plastik. ","2025-04-28T08:18:32.292703Z"
"",749,"1","2025-04-28T08:19:09.187410Z","Fri Sep 08 09:56:17 +0000 2023",1542,35.835,"Positive","Positive","Neutral","Positive","Bikin mural pakai tutup botol! Siswa sekolah menengah di Argentina membuat mural raksasa Lionel Messi menggunkan tutup botol plastik daur ulang. ️ #Megabintang #Argentina #SisiLain ","2025-04-28T08:19:09.187410Z"
"",750,"1","2025-04-28T08:19:25.103810Z","Sun Mar 26 09:46:24 +0000 2023",1543,13.217,"Negative","Negative","Negative","Negative","Loh tapi kan galon sekali pakai bisa didaur ulang? Faktanya gak demikian daur ulang sampah plastik di Indonesia baru menyentuh 12%. Masih sedikit recycle rate. Nih simak penjelasannya ","2025-04-28T08:19:25.103810Z"
"",751,"1","2025-04-28T08:21:01.737696Z","Thu Mar 02 01:24:45 +0000 2023",1544,8.792,"Positive","Neutral","Positive","Neutral","ExxonMobil sedang mengkaji implementasi teknologi mutakhir daur ulang plastik dalam skala besar di Indonesia. Simak video cara kerja teknologi tersebut.  ","2025-04-28T08:21:01.737696Z"
"",752,"1","2025-04-28T08:21:59.716266Z","Mon Jun 05 03:10:53 +0000 2023",1545,55.983,"Positive","Positive","Positive","Positive","230605 Shu Uemura weibo  Dukung masa depan bersama dgn Shu Uemura global brand spokesperson Wang Yibo ️ Bantu menjaga lingkungan dgn plastik daur ulang ️ Program Daur Ulang botol kosong cleansing oil Shu Uemura sedang berjalan #WangYibo_ShuUemura ","2025-04-28T08:21:59.716266Z"
"",753,"1","2025-04-28T08:22:15.439096Z","Fri Dec 01 09:46:32 +0000 2023",1546,13.15,"Neutral","Positive","Positive","Positive","Tau gak kalian bagaimana botol PET menjadi botol PET baru? Tonton sampai habis guys ! Indonesia memiliki beberapa pabrik canggih untuk daur ulang PET. Sepeti PT. BIPJ yang juga merupakan Member dari Asosisasi Daur Ulang Plastik Indonesia (ADUPI) Repost: bule_sampah (jg) ","2025-04-28T08:22:15.439096Z"
"",754,"1","2025-04-28T08:24:14.343573Z","Sat Jul 08 11:17:36 +0000 2023",1547,12.949000000000002,"Positive","Positive","Neutral","Positive","Setiap kantor cabang BSI akan disediakan mesin daur ulang sampah plastik yg terintegrasi aplikasi Plasticpay. Cukup dgn menukar plastik scan barcode masyarakat memperoleh poin yg dpt ditukarkan dgn merchandise dari BSI dan Plasticpay Indonesia. #BaliSustainableMovement2023 ","2025-04-28T08:24:16.532142Z"
"",755,"1","2025-04-28T08:27:43.111597Z","Thu Jul 20 12:58:35 +0000 2023",1548,205.319,"Positive","Neutral","Neutral","Positive","Tekan Jejak Karbon Bank Mandiri Terbitkan Kartu Debit dan e-Money Plastik Daur Ulang Pertama di Indonesia ","2025-04-28T08:27:43.111597Z"
"",756,"1","2025-04-28T08:27:56.373343Z","Thu Dec 21 12:47:31 +0000 2023",1549,11.798,"Positive","Neutral","Positive","Positive","Nestlé luncurkan bangku dengan kerangka terbuat dari 100% daur ulang plastik sachet pasca-konsumsi! Komitmen Nestlé dukung peningkatan angka daur ulang &amp; ekonomi sirkular ️ ","2025-04-28T08:27:56.373343Z"
"",757,"1","2025-04-28T08:28:13.036400Z","Sat Mar 11 01:22:24 +0000 2023",1550,15.923,"Positive","Neutral","Neutral","Neutral","Sambut kedatangan pengusaha Kolombia di bidang daur ulang plastik Dubes RI Tatang Razak dan Tim Ekonomi paparkan potensi ekonomi dan regulasi investasi di Indonesia. #inidiplomasi #rintiskemajuan ","2025-04-28T08:28:13.036400Z"
"",758,"1","2025-04-28T10:47:59.506208Z","Fri Mar 03 09:53:50 +0000 2023",1552,60.149,"Positive","Neutral","Positive","Positive","Turut mendukung terciptanya infrastruktur berkelanjutan Chandra Asri berkolaborasi dengan Asosiasi Daur Ulang Plastik Indonesia (ADUPI) Yayasan Bakti Barito dan Dinas PUPR Kabupaten Garut untuk mengonversi sampah plastik low value menjadi high value -c- ","2025-04-28T10:47:59.506208Z"
"",759,"1","2025-04-28T10:48:11.104377Z","Wed Oct 11 12:00:03 +0000 2023",1553,10.64,"Neutral","Neutral","Positive","Positive","#Zenbook menggunakan material produk ramah lingkungan dengan memasukkan plastik daur ulang pasca-konsumen (PCR) &amp; plastik yang dibuang ke laut ke dalam laptop kami yang bersertifikasi lingkungan. Kami melindungi Bumi &amp; memberikan yang terbaik untukmu! ","2025-04-28T10:48:11.104377Z"
"",760,"1","2025-04-28T10:48:46.504649Z","Wed Aug 02 05:00:24 +0000 2023",1554,8.52,"Neutral","Negative","Negative","Negative"," Penelitian baru menemukan bahwa fasilitas daur ulang plastik masih melepaskan miliaran partikel plastik kecil ke dalam air limbah yang kemudian berkontribusi pada pencemaran saluran air dan membahayakan kesehatan manusia. ","2025-04-28T10:48:46.504649Z"
"",761,"1","2025-04-28T10:49:39.935408Z","Sun Oct 01 06:00:00 +0000 2023",1556,9.322,"Positive","Positive","Neutral","Positive","Sebagai wujud komitmen mendukung program pemerintah terkait pengelolaan sampah plastik dan ekonomi sirkular Coca-Cola mendirikan fasilitas daur ulang botol plastik PET yang dikelola PT Amandina Bumi Nusantara. Simak di #Insight with @desianwar hari ini di CNN Indonesia. ","2025-04-28T10:49:39.935408Z"
"",762,"1","2025-04-28T11:06:39.545299Z","Thu May 09 07:20:34 +0000 2024",1557,16.655,"Positive","Neutral","Neutral","Neutral","| ADA YANG BARU DARI AQUA | Air mineral bermerk AQUA ini selalu saja berbuat kebaikan untuk masyarakat setempat dan untuk Indonesia. Apalagi untuk warga Palestina yang jauh disana. AQUA saat ini sedang membangun Sumur Resapan sebagai bentuk inovasi dalam daur ulang plastik. ","2025-04-28T11:06:39.545299Z"
"",763,"1","2025-04-28T11:07:05.917602Z","Wed Jul 03 13:39:23 +0000 2024",1558,25.288,"Positive","Neutral","Neutral","Positive","Unilever Indonesia mendorong penggunaan kemasan daur ulang di setiap produknya. Satu komitmen yg kuat perusahaan terhadap tanggung jawab lingkungan dgn pengurangan penggunaan kemasan plastik. ","2025-04-28T11:07:05.918606Z"
"",764,"1","2025-04-28T11:07:43.222259Z","Tue Feb 13 02:35:28 +0000 2024",1559,34.641,"Neutral","Neutral","Neutral","Negative","Memasuki masa tenang pemilu 2024 pengelolaan sampah Alat Peraga Kampanye (APK) dibeberapa daerah belum di daur ulang dan berakhir menjadi sampah. Pengkampanye Urban Greenpeace Indonesia Atha Rasyadi mengatakan baliho yang digunakan masih berbahan plastik PVC atau vinyl yang ","2025-04-28T11:07:43.222259Z"
"",765,"1","2025-04-28T11:07:51.301063Z","Sat Apr 26 13:30:17 +0000 2025",1560,6.862,"Neutral","Neutral","Neutral","Positive","#PemudaAbdya #DaurUlangSampah Begini Cara Dua Pemuda Abdya Daur Ulang Sampah Plastik Jadi Paving Blok  via @tribunnews","2025-04-28T11:07:51.301063Z"
"",766,"1","2025-04-28T11:08:13.882669Z","Mon Sep 25 10:00:02 +0000 2023",1561,21.45,"Neutral","Neutral","Neutral","Positive","ThinkPad X1 Yoga menggabungkan kinerja unggul dengan keberkelanjutan. Dibuat dengan chassis aluminium daur ulang plastik daur ulang (PCC) untuk bingkai speaker baterai bahkan di dalam adaptor daya. Memperkuat komitmen terhadap lingkungan kemasan laptop ini bebas dari plastik. ","2025-04-28T11:08:13.882669Z"
"",767,"1","2025-04-28T11:08:26.773003Z","Wed Jan 11 14:05:22 +0000 2023",1562,11.39,"Positive","Positive","Positive","Positive","Takjub! Korsel Daur Ulang Sampah Plastik 943.000 Ton/ Tahun ","2025-04-28T11:08:26.773003Z"
"",768,"1","2025-04-28T11:08:39.881031Z","Sun Feb 26 03:29:45 +0000 2023",1563,11.669,"Positive","Positive","Neutral","Positive","Inilah salah satu tempat daur ulang botol plastik Lombok PET di kawasan Kuranji Lombok Barat. Salah satu unit bisnis daur ulang atau recycling business unit dampingan @Danone Indonesia yang dikelola oleh UD Lombok PET. #CircularEconomy #bijakberplastik ","2025-04-28T11:08:39.881031Z"
